,reviews,scores,compound,label
0,  it is india's most prestigious university,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
4, collage mainly focus on research work,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
7," there are state of the art laboratories, library, cafeteria and sports facilities","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
8," there are state of the art laboratories, library, cafeteria and sports facilities","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
10, collage mainly focus on research work,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
17, based on school / 12th class result,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
20, i got placed in cisco based on my understanding of technical skills,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
22,i did my graduation in nursing from this college this college is under ntr university and this is a 4 years course and the total fees is ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
23, 5 lac and there were 40 students in our batch they have placements but i didn't got placed in anywhere teachers know how to teach there students so that they can understood what is taught to them ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
24, based on school / 12th class result,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
28, most of the teachers are doctors and all other are phd holders,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
29, one can also find many lecturers from foreign universities,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
30,  it is india's most prestigious university,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
38, i got placed in cisco based on my understanding of technical skills,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
47, based on school / 12th class result,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
51, most of the teachers are doctors and all other are phd holders,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
52, one can also find many lecturers from foreign universities,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
53,i did my graduation in nursing from this college this college is under ntr university and this is a 4 years course and the total fees is ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
54, 5 lac and there were 40 students in our batch they have placements but i didn't got placed in anywhere teachers know how to teach there students so that they can understood what is taught to them ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
55, based on school / 12th class result,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
57, collage mainly focus on research work,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
60,  it is india's most prestigious university,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
63," there are state of the art laboratories, library, cafeteria and sports facilities","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
64,"my all india rank in jee exam was 1600, i wanted to pursue a unique course after my 12th standard and so opted for this course","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
66, i had the option to choose civil engineering but in india only our college and iitr kharagpur had this course so i took this course,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
70, students require to prepare the whole syllabus for placement exams ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
