,0
0,"I don't know the accurate stats, but more than 90% of the students from course got placed. The highest salary package is offered in crores per annum, and the average salary package offered ranges between 30-40 LPA, and the lowest salary package offered ranges between 20-25 LPA. Top recruiting companies like Google, Microsoft, etc., visit our college for placements. Internship rate is also quite good, at least 75-80% of the students from our course get an internship."
1,"There are 13 hostels in total,..."
2,"Generally, after M.Sc chemistry course, students like to get a job in ONGC, IONCL, BRARC and Geoscience through GATE exam and get an average salary package of 14-19 LPA. Students also like to go abroad for further PhD study. Almost 80% of the students have this kind of future planning. For an internship, students go in different IITs, IISC, ONGC, IONCL and foreign universities through professor recommendations. They also provide scholarships of Rs. 7,000-8,000 per month for students who are doin..."
3,"Approximately 2-3 students from our seniors batch were placed. The salary package offered varies from 5 LPA to 8 LPA. Companies like Aakash, Byju's, etc., visit here for placements. Internships are always available, and students who are interested can do an internship. Students who are interested in pursuing a PhD outside India would get an excellent platform here."
4,"Facilities here are awesome. Labs available fully equipped where we have to work. The infrastructure of classrooms is excellent, and ..."
5,"Placement scenario is very good at IIT Delhi, especially in the computer science department. In recent past years, approximate 85% of the students got placed from the CSE department. The highest salary package was about 50 LPA (domestic), and the lowest was about 10 LPA. The average salary package offered is about 11 LPA. Mostly students got placed as a software developer. Top recruiters are Microsoft, Uber, Google, Flipkart, JP Morgan, Amazon, etc. Most of the students get an internship opportu..."
6,"1. Almost 90 to 95% placed in past year in various places like ONGC, BARC and in Ph.D. courses abroad. 2. The highest salary in our course offered 2 Lacs per month and minimum salary offered was 45000 per month. 3. ONGC 4. Executive chemist and SEE reserviour. 5.27 Lacs per annum, the lowest is 8 Lacs per annum and the average package is 11 to 12 Lacs per annum. 6. Almost every student can get this opportunity in various places like TIFR, BARC, IISC, IISER and abroad also."
7,1. Everything is...
8,Currently I am pursuing this course. But my seniors of this course got very less placement around 10% and package was around 10 Lacs. The highest was 15 Lacs and the lowest was 10 Lacs. Only two students out of 50 got internship. The problem is that our professors do not allow the students to go for job and the companies to come here for placement. They want more of them to pursue Ph.D. which is not good at all. Students should have freedom to do what ever they want. Top recruitment company is b...
9,"All students sitting for placements were placed, with maximum salary being 1.5 crores, minimum being 14 lacs and average being 18 lacs. Companies such as Microsoft, Amazon, Uber, Samsung, Google, etc came. Recruited from IITD. Around 90 percent students got internships in firms like Microsoft, Adobe, Samsung, etc."
10,"Infrastructure is top-notch, with large spacious classrooms with facilities like Wi-Fi, air conditioning, etc. Labs are well-equipped with powerful computers and a well-stocked library...."
11,"Job opportunities here are very good as more core companies visit here for placements. But I am not aware of placements here since I am not interested in placements. I thought to pursue higher degrees in the foreign university, but I heard that placements are good here. So, I join here."
12,The infrastructure of our college is pretty good. The main building and the lecture halls are pretty well maintained. There is a Wi-Fi facility almost throughout the institute. Classrooms are equipped with air-con...
13,"Hello, I am pursuing B.Tech in Mechanical Engineering from IIT Delhi. In my course, approximately 85% students got placement. The highest package is 45 LPA, the lowest package is 6.5 LPA and average package is approximately 8.5 to 9 LPA. 30-40 percent students got internship from my course in Maruti, Honda, Tata, Jindal etc. Maruti, Honda, ZS Assosiates are the top recruiting companies in my course."
14,Yes there are libraries in respective departments and also Wi-Fi facility is given throughout the...
15,"About 80% of the students were placed. The highest salary offered is Rs. 3 Lacs per month. The lowest salary offered is Rs. 1.25 Lacs per month. The average salary offered is Rs. 2 Lacs per month. Top recruiting companies are Dell, HP, and Asus. Top roles offered here are software designer and software specialist. The highest salary package offered in our course is 36 LPA. The lowest salary package offered in our course 15 LPA. The average salary package offered in our course 24 LPA. Almost 60% ..."
16,"Over 90% of students from the electrical department were offered placements in various companies. The average salary package offered was around 8 LPA. The highest salary package offered was maybe around 1.5 crores, and I am not sure, but it could have been around 2 crores also."
